timestamp,root_cause,alarm
0,chiller_plant,cdu
0,pac,pipe681
0,pac,pipe948
0,pac,pipe932
0,pac,pipe212
0,pac,pipe213
0,pac,pipe759
0,pac,pipe753
0,pac,pipe750
0,pac,pipe757
0,pac,pipe756
0,pac,pipe755
0,pac,pipe754
0,pac,pipe11
0,pac,pipe10
0,pac,pipe13
0,pac,pipe15
0,pac,pipe14
0,pac,pipe16
0,pac,pipe18
0,pac,pipe630
0,pac,pipe631
0,pac,pipe634
0,pac,pipe636
0,pac,pipe637
0,pac,pipe638
0,pac,pipe639
0,pac,pipe219
0,pac,pipe998
0,pac,pipe974
0,pac,pipe270
0,pac,pipe271
0,pac,pipe272
0,pac,pipe274
0,pac,pipe275
0,pac,pipe276
0,pac,pipe277
0,pac,pipe278
0,pac,pipe378
0,pac,pipe441
0,pac,pipe440
0,pac,pipe446
0,pac,pipe445
0,pac,pipe444
0,pac,pipe371
0,pac,pipe362
0,pac,pipe373
0,pac,pipe372
0,pac,pipe377
0,pac,pipe685
0,pac,pipe684
0,pac,pipe687
0,pac,pipe529
0,pac,pipe683
0,pac,pipe682
0,pac,pipe524
0,pac,pipe526
0,pac,pipe527
0,pac,pipe520
0,pac,pipe521
0,pac,pipe522
0,pac,pipe523
0,pac,pipe810
0,pac,pipe811
0,pac,pipe936
0,pac,pipe813
0,pac,pipe368
0,pac,pipe369
0,pac,pipe988
0,pac,pipe9
0,pac,pipe8
0,pac,pipe989
0,pac,pipe1
0,pac,pipe3
0,pac,pipe2
0,pac,pipe5
0,pac,pipe4
0,pac,pipe7
0,pac,pipe590
0,pac,pipe453
0,pac,pipe595
0,pac,pipe597
0,pac,pipe598
0,pac,pipe845
0,pac,pipe844
0,pac,pipe843
0,pac,pipe842
0,pac,pipe68
0,pac,pipe69
0,pac,pipe60
0,pac,pipe61
0,pac,pipe62
0,pac,pipe63
0,pac,pipe65
0,pac,pipe66
0,pac,pipe688
0,pac,pipe799
0,pac,pipe798
0,pac,pipe796
0,pac,pipe793
0,pac,pipe792
0,pac,pipe791
0,pac,pipe150
0,pac,pipe153
0,pac,pipe155
0,pac,pipe157
0,pac,pipe156
0,pac,pipe159
0,pac,pipe921
0,pac,pipe692
0,pac,pipe693
0,pac,pipe922
0,pac,pipe806
0,pac,pipe923
0,pac,pipe704
0,pac,pipe705
0,pac,pipe706
0,pac,pipe701
0,pac,pipe702
0,pac,pipe703
0,pac,pipe927
0,pac,pipe708
0,pac,pipe709
0,pac,pipe928
0,pac,pipe956
0,pac,pipe698
0,pac,pipe699
0,pac,pipe338
0,pac,pipe337
0,pac,pipe331
0,pac,pipe333
0,pac,pipe560
0,pac,pipe561
0,pac,pipe562
0,pac,pipe563
0,pac,pipe564
0,pac,pipe565
0,pac,pipe567
0,pac,pipe568
0,pac,pipe569
0,pac,pipe649
0,pac,pipe648
0,pac,pipe641
0,pac,pipe640
0,pac,pipe642
0,pac,pipe645
0,pac,pipe644
0,pac,pipe647
0,pac,pipe646
0,pac,pipe898
0,pac,pipe899
0,pac,pipe890
0,pac,pipe891
0,pac,pipe892
0,pac,pipe893
0,pac,pipe894
0,pac,pipe895
0,pac,pipe896
0,pac,pipe897
0,pac,pipe209
0,pac,pipe201
0,pac,pipe200
0,pac,pipe203
0,pac,pipe202
0,pac,pipe205
0,pac,pipe207
0,pac,pipe206
0,pac,pipe803
0,pac,pipe801
0,pac,pipe800
0,pac,pipe418
0,pac,pipe419
0,pac,pipe805
0,pac,pipe804
0,pac,pipe414
0,pac,pipe415
0,pac,pipe416
0,pac,pipe417
0,pac,pipe410
0,pac,pipe411
0,pac,pipe412
0,pac,pipe969
0,pac,pipe965
0,pac,pipe966
0,pac,pipe967
0,pac,pipe961
0,pac,pipe962
0,pac,pipe115
0,pac,pipe117
0,pac,pipe116
0,pac,pipe110
0,pac,pipe113
0,pac,pipe119
0,pac,pipe296
