timestamp,root_cause,alarm
0,chiller_plant,cdu
0,pac,pipe11
0,pac,pipe10
0,pac,pipe13
0,pac,pipe15
0,pac,pipe14
0,pac,pipe16
0,pac,pipe18
0,pac,pipe9
0,pac,pipe8
0,pac,pipe1
0,pac,pipe3
0,pac,pipe2
0,pac,pipe5
0,pac,pipe4
0,pac,pipe7
0,pac,pipe68
0,pac,pipe69
0,pac,pipe60
0,pac,pipe61
0,pac,pipe62
0,pac,pipe63
0,pac,pipe65
0,pac,pipe66
0,pac,pipe24
0,pac,pipe25
0,pac,pipe26
0,pac,pipe27
0,pac,pipe22
0,pac,pipe23
0,pac,pipe88
0,pac,pipe82
0,pac,pipe83
0,pac,pipe81
0,pac,pipe87
0,pac,pipe84
0,pac,pipe77
0,pac,pipe75
0,pac,pipe73
0,pac,pipe70
0,pac,pipe79
0,pac,pipe78
0,pac,pipe48
0,pac,pipe49
0,pac,pipe46
0,pac,pipe47
0,pac,pipe44
0,pac,pipe45
0,pac,pipe42
0,pac,pipe41
0,pac,pipe39
0,pac,pipe38
0,pac,pipe32
0,pac,pipe30
0,pac,pipe36
0,pac,pipe99
0,pac,pipe98
0,pac,pipe91
0,pac,pipe90
0,pac,pipe95
0,pac,pipe97
0,pac,pipe96
0,pac,pipe59
0,pac,pipe58
0,pac,pipe55
0,pac,pipe54
0,pac,pipe57
0,pac,pipe51
0,pac,pipe50
0,pac,pipe53
0,pdu,rack61
0,pdu,rack60
0,pdu,rack65
0,pdu,rack67
0,pdu,rack66
0,pdu,rack59
0,pdu,rack55
0,pdu,rack56
0,pdu,rack57
0,pdu,rack50
0,pdu,rack51
0,pdu,rack52
0,pdu,rack53
0,pdu,rack49
0,pdu,rack42
0,pdu,rack41
0,pdu,rack47
0,pdu,rack46
0,pdu,rack45
0,pdu,rack44
0,pdu,rack38
0,pdu,rack37
0,pdu,rack34
0,pdu,rack35
0,pdu,rack32
0,pdu,rack33
0,pdu,rack30
0,pdu,rack31
0,pdu,rack90
0,pdu,rack91
0,pdu,rack92
0,pdu,rack93
0,pdu,rack95
0,pdu,rack96
0,pdu,rack98
0,pdu,rack25
0,pdu,rack24
0,pdu,rack26
0,pdu,rack21
0,pdu,rack23
0,pdu,rack22
0,pdu,rack89
0,pdu,rack88
0,pdu,rack86
0,pdu,rack85
0,pdu,rack84
0,pdu,rack82
0,pdu,rack81
0,pdu,rack18
0,pdu,rack19
0,pdu,rack11
0,pdu,rack14
0,pdu,rack16
0,pdu,rack8
0,pdu,rack9
0,pdu,rack6
0,pdu,rack7
0,pdu,rack4
0,pdu,rack5
0,pdu,rack2
0,pdu,rack3
0,pdu,rack0
0,pdu,rack1
0,pdu,rack72
0,pdu,rack73
0,pdu,rack70
0,pdu,rack76
0,pdu,rack74
0,pdu,rack78
0,pdu,rack79
0,battery2,ups2
0,battery3,ups4
0,battery4,ups6
0,ups7,pdu
0,rack6,switch26
0,rack6,router24
0,rack6,router27
0,rack6,router26
0,rack6,switch24
0,rack6,switch25
0,rack9,router36
0,rack9,switch36
0,rack9,switch39
0,rack9,switch38
0,rack10,switch40
0,rack10,switch42
0,rack10,switch43
0,rack10,router43
0,rack10,router41
0,rack10,router40
0,rack11,switch44
0,rack11,switch46
0,rack11,switch47
0,rack11,router47
0,rack11,router46
0,rack11,router45
0,rack11,router44
0,rack13,router52
0,rack13,router53
0,rack13,switch53
0,rack13,switch52
0,rack13,switch55
0,rack13,switch54
0,rack14,router56
0,rack14,router57
0,rack14,router58
0,rack14,switch57
0,rack14,switch58
0,rack15,switch62
0,rack15,switch60
0,rack15,switch61
0,rack18,router74
0,rack18,router75
0,rack18,router73
0,rack18,switch75
0,rack21,switch85
0,rack21,switch86
0,rack21,switch87
0,rack21,router87
0,rack21,router86
0,rack21,router85
0,rack21,router84
0,rack22,switch88
0,rack22,switch89
0,rack22,switch90
0,rack22,router89
0,rack22,router88
0,rack24,router97
0,rack24,router98
0,rack24,switch97
0,rack24,switch96
0,rack24,switch99
0,rack24,switch98
0,rack26,router104
0,rack26,router107
0,rack26,router106
0,rack26,switch105
0,rack26,switch107
0,rack28,switch113
0,rack28,router114
0,rack28,router115
0,rack28,router112
0,rack28,router113
0,rack31,switch127
0,rack31,switch124
0,rack31,switch125
0,rack31,router127
0,rack31,router126
0,rack31,router125
0,rack33,switch135
0,rack33,switch134
0,rack33,router134
0,rack33,router135
0,rack33,router132
0,rack33,router133
0,rack35,router141
0,rack35,router140
0,rack35,router143
0,rack35,router142
0,rack35,switch141
0,rack35,switch143
0,rack37,router148
0,rack37,switch150
0,rack37,router151
0,rack37,switch148
0,rack39,switch159
0,rack39,router159
0,rack39,switch157
0,rack40,router163
0,rack40,router162
0,rack40,router161
0,rack40,router160
0,rack40,switch162
0,rack40,switch163
0,rack40,switch160
0,rack41,router167
0,rack41,router164
0,rack41,switch166
0,rack41,switch167
0,rack41,switch165
0,rack43,router172
0,rack43,router174
0,rack43,router175
0,rack43,switch175
0,rack43,switch174
0,rack44,switch177
0,rack44,switch176
0,rack44,switch179
0,rack44,router176
0,rack44,router177
0,rack44,router178
0,rack44,router179
0,rack45,switch180
0,rack45,switch181
0,rack45,switch182
