timestamp,root_cause,alarm
0,chiller_plant,cdu
0,pac,pipe9
0,pac,pipe8
0,pac,pipe1
0,pac,pipe3
0,pac,pipe2
0,pac,pipe5
0,pac,pipe4
0,pac,pipe7
0,pdu,rack8
0,pdu,rack9
0,pdu,rack6
0,pdu,rack7
0,pdu,rack4
0,pdu,rack5
0,pdu,rack2
0,pdu,rack3
0,pdu,rack0
0,pdu,rack1
0,battery2,ups2
0,battery3,ups4
0,rack6,switch26
0,rack6,router24
0,rack6,router27
0,rack6,router26
0,rack6,switch24
0,rack6,switch25
0,rack9,router36
0,rack9,switch36
0,rack9,switch39
0,rack9,switch38
0,router15,router15
0,switch29,switch29
0,router27,router27
0,router23,router23
0,switch21,switch21
0,switch6,switch6
0,router31,router31
0,router8,router8
0,rack9,rack9
0,battery4,battery4
0,switch20,switch20
0,pipe2,pipe2
0,switch35,switch35
0,router26,router26
0,pipe6,pipe6
0,switch13,switch13
0,rack6,rack6
0,router22,router22
0,switch1,switch1
0,router3,router3
0,router32,router32
0,router7,router7
0,switch9,switch9
0,battery3,battery3
0,switch14,switch14
0,switch38,switch38
0,switch16,switch16
0,router13,router13
0,switch30,switch30
0,pac,pac
0,router37,router37
0,switch8,switch8
0,switch39,switch39
0,switch10,switch10
0,router28,router28
0,chiller_plant,chiller_plant
0,battery2,battery2
0,router14,router14
0,switch28,switch28
0,pipe4,pipe4
0,switch15,switch15
0,router38,router38
0,router10,router10
0,router20,router20
0,pipe8,pipe8
0,switch24,switch24
0,switch19,switch19
0,pdu,pdu
1,substation1,transformer1
1,generator1,transformer2
1,chiller_plant,cdu
1,cdu,pac
1,pac,pipe1
1,pac,pipe0
1,pac,pipe2
1,pac,pipe4
1,pac,pipe7
1,pac,pipe6
1,pdu,rack8
1,pdu,rack9
1,pdu,rack7
1,pdu,rack4
1,pdu,rack2
1,pdu,rack3
1,pdu,rack1
1,rack2,router8
1,rack2,router10
1,rack2,router11
1,rack2,switch11
1,rack2,switch10
1,rack2,switch9
1,rack2,switch8
1,rack4,router18
